"flavour_id","name","description"
1,"Vanilla","A sweet, creamy flavor derived from vanilla beans"
2,"Chocolate","A rich, bittersweet flavor made from cacao"
3,"Strawberry","A sweet and tangy flavor made from ripe strawberries"
4,"Mint","A refreshing, cool flavor often associated with mint leaves"
5,"Lemon","A tart, citrusy flavor derived from lemon fruit"
6,"Blueberry","A sweet and slightly tart flavor from blueberries"
7,"Coffee","A strong, bitter flavor derived from roasted coffee beans"
8,"Caramel","A rich, sweet flavor created from caramelized sugar"
9,"Pineapple","A tropical, sweet-tart flavor from the pineapple fruit"
10,"Coconut","A sweet, nutty flavor derived from coconut"
11,"Peach","A sweet and juicy flavor from ripe peaches"
12,"Raspberry","A tangy and sweet flavor from fresh raspberries"
13,"Apple","A sweet and crisp flavor from apples"
14,"Banana","A sweet, smooth flavor from ripe bananas"
15,"Mango","A tropical, sweet and slightly tangy flavor from mango"
16,"Cherry","A sweet and slightly tart flavor from cherries"
17,"Watermelon","A refreshing, juicy flavor from watermelon"
18,"Lime","A tangy and slightly bitter flavor from limes"
19,"Orange","A sweet and tangy citrus flavor from oranges"
20,"Grape","A sweet flavor from grapes"
21,"Hazelnut","A nutty, slightly sweet flavor from hazelnuts"
22,"Almond","A nutty, slightly sweet flavor from almonds"
23,"Pistachio","A nutty flavor with a mild sweetness from pistachios"
24,"Cinnamon","A warm, spicy-sweet flavor from cinnamon bark"
25,"Nutmeg","A warm, slightly sweet and spicy flavor from nutmeg seeds"
26,"Ginger","A spicy, aromatic flavor with a hint of sweetness from ginger root"
27,"Maple","A sweet, caramelized flavor from maple syrup"
28,"Butterscotch","A rich, sweet flavor made from butter and brown sugar"
29,"Peanut Butter","A creamy, nutty flavor from peanuts"
30,"Coconut Cream","A rich, creamy flavor made from coconut milk"
31,"Lavender","A fragrant, floral flavor from lavender flowers"
32,"Rose","A floral, slightly sweet flavor from rose petals"
33,"Jasmine","A sweet, fragrant floral flavor from jasmine flowers"
34,"Lemonade","A refreshing, tangy-sweet citrus flavor from lemons"
35,"Green Tea","A subtle, slightly bitter flavor from green tea leaves"
36,"Black Tea","A strong, slightly bitter flavor from black tea leaves"
37,"Chamomile","A mild, floral flavor from chamomile flowers"
38,"Lychee","A sweet, fragrant tropical fruit flavor"
39,"Passion Fruit","A tangy and sweet tropical flavor from passion fruit"
40,"Tangerine","A sweet, citrus flavor from tangerines"
41,"Apricot","A sweet and tangy flavor from apricots"
42,"Kiwi","A tangy, slightly sweet flavor from kiwis"
43,"Papaya","A tropical, sweet flavor from papaya fruit"
44,"Fig","A sweet, slightly earthy flavor from figs"
45,"Plum","A sweet-tart flavor from plums"
46,"Cranberry","A tart, slightly sweet flavor from cranberries"
47,"Blackberry","A sweet and slightly tart flavor from blackberries"
48,"Cantaloupe","A sweet, melony flavor from cantaloupe"
49,"Honeydew","A sweet and slightly floral flavor from honeydew melon"
50,"Cucumber","A cool, crisp flavor from cucumber"
51,"Carrot","A sweet, earthy flavor from carrots"
52,"Sweet Potato","A sweet, starchy flavor from sweet potatoes"
53,"Pumpkin","A rich, sweet flavor from pumpkin"
54,"Zucchini","A mild, slightly sweet flavor from zucchini"
55,"Tomato","A juicy, slightly tangy flavor from tomatoes"
56,"Beetroot","A sweet, earthy flavor from beets"
57,"Spinach","A mild, slightly bitter flavor from spinach"
58,"Broccoli","A savory, slightly bitter flavor from broccoli"
59,"Cauliflower","A mild, slightly nutty flavor from cauliflower"
60,"Asparagus","A delicate, slightly bitter flavor from asparagus"
61,"Brussels Sprouts","A bitter, cabbage-like flavor from Brussels sprouts"
62,"Leek","A mild, onion-like flavor from leeks"
63,"Onion","A pungent, savory flavor from onions"
64,"Garlic","A strong, pungent flavor from garlic cloves"
65,"Shallot","A milder, sweeter onion flavor from shallots"
66,"Chili","A hot, spicy flavor from chili peppers"
67,"Jalapeno","A medium-spicy flavor from jalapeno peppers"
68,"Habanero","A very hot, fruity flavor from habanero peppers"
