ingredient_rawmaterial_id,ingredient_id,raw_material_type_id
0,380,31
1,161,137
2,145,182
3,313,7
4,211,93
5,114,86
6,343,64
7,375,105
8,383,19
9,385,44
10,154,118
11,297,89
12,200,46
13,368,185
14,199,57
15,185,188
16,106,29
17,260,21
18,275,37
19,135,124
20,280,193
21,254,65
22,251,73
23,297,146
24,266,159
25,153,145
26,370,62
27,199,165
28,311,50
29,108,180
30,241,85
31,115,178
32,147,171
33,394,192
34,257,156
35,113,139
36,194,195
37,185,40
38,212,167
39,191,114
40,358,53
41,233,31
42,203,176
43,318,181
44,305,183
45,327,132
46,278,41
47,171,24
48,140,135
49,331,78
50,196,5
51,363,176
52,300,7
53,292,119
54,225,173
55,130,116
56,360,106
57,115,43
58,339,135
59,335,20
60,269,23
61,131,79
62,378,94
63,349,132
64,368,139
65,270,84
66,238,39
67,183,103
68,259,17
69,254,179
70,292,191
71,257,29
72,176,91
73,397,48
74,337,183
75,268,143
76,359,47
77,313,112
78,161,10
79,266,48
80,380,52
81,168,29
82,124,99
83,195,107
84,230,124
85,165,46
86,248,34
87,372,113
88,213,186
89,312,41
90,101,13
91,279,130
92,208,139
93,169,195
94,323,144
95,185,200
96,183,142
97,185,20
98,154,160
99,334,73
100,138,165
101,311,142
102,309,41
103,248,84
104,107,148
105,208,12
106,366,189
107,168,88
108,284,71
109,215,5
110,240,141
111,226,74
112,314,133
113,281,159
114,281,63
115,248,101
116,306,113
117,221,30
118,127,16
119,239,41
120,156,69
121,353,68
122,354,89
123,321,94
124,242,46
125,346,96
126,100,108
127,105,167
128,180,165
129,219,58
130,135,198
131,170,66
132,143,114
133,119,138
134,394,140
135,348,124
136,165,17
137,358,78
138,376,95
139,276,71
140,211,166
141,164,74
142,227,178
143,395,46
144,170,146
145,129,39
146,326,120
147,379,173
148,233,53
149,337,70
150,374,48
151,160,99
152,144,83
153,220,76
154,224,27
155,332,145
156,382,122
157,335,54
158,169,10
159,115,121
160,248,112
161,373,27
162,364,58
163,243,161
164,127,110
165,214,87
166,267,145
167,181,56
168,389,145
169,179,92
170,298,96
171,321,70
172,380,141
173,255,32
174,210,120
175,317,173
176,213,178
177,116,107
178,171,119
179,155,84
180,353,81
181,123,199
182,257,26
183,113,152
184,135,190
185,355,136
186,234,106
187,128,106
188,132,77
189,230,84
190,246,97
191,118,118
192,285,70
193,361,146
194,297,28
195,185,47
196,256,50
197,292,4
198,244,80
199,175,54
200,175,53
201,195,198
202,104,6
203,232,106
204,283,188
205,170,174
206,393,64
207,337,135
208,117,54
209,286,172
210,392,124
211,347,193
212,376,133
213,365,153
214,305,70
215,156,127
216,281,115
217,181,121
218,264,103
219,377,98
220,392,23
221,232,11
222,343,162
223,250,117
224,125,128
225,277,109
226,126,75
227,157,164
228,244,6
229,289,106
230,346,120
231,318,183
232,135,181
233,283,78
234,302,18
235,219,38
236,184,186
237,164,29
238,177,122
239,125,27
240,244,14
241,143,145
242,361,150
243,373,13
244,173,112
245,310,11
246,324,3
247,280,161
248,240,45
249,254,175
250,250,114
251,331,105
252,186,57
253,290,50
254,105,85
255,235,71
256,315,133
257,260,77
258,275,184
259,185,71
260,310,169
261,278,81
262,371,10
263,302,82
264,258,88
265,153,161
266,360,59
267,344,64
268,203,56
269,369,109
270,368,133
271,251,10
272,329,65
273,183,91
274,138,77
275,208,136
276,387,19
277,222,142
278,232,137
279,213,22
280,245,34
281,302,113
282,105,58
283,151,70
284,295,43
285,215,194
286,178,33
287,205,179
288,167,14
289,226,153
290,341,130
291,395,121
292,234,115
293,377,120
294,293,117
295,204,112
296,326,71
297,379,114
298,371,122
299,186,144
300,189,134
301,110,85
302,196,194
303,398,172
304,292,80
305,223,98
306,123,195
307,353,97
308,140,86
309,245,113
310,399,178
311,303,125
312,237,83
313,269,128
314,251,72
315,127,138
316,393,77
317,235,19
318,176,78
319,116,114
320,125,19
321,171,130
322,210,187
323,378,106
324,328,174
325,332,151
326,247,179
327,399,161
328,369,90
329,300,111
330,353,103
331,321,71
332,136,163
333,325,22
334,336,73
335,198,144
336,397,66
337,361,5
338,281,62
339,178,1
340,224,128
341,287,174
342,259,172
343,346,135
344,150,15
345,319,107
346,274,195
347,121,12
348,122,198
349,346,84
350,274,126
351,249,196
352,173,163
353,179,152
354,276,120
355,238,97
356,284,152
357,186,8
358,201,177
359,318,68
360,301,8
361,384,145
362,192,97
363,265,69
364,198,136
365,260,120
366,399,193
367,275,7
368,240,56
369,347,45
370,111,14
371,260,191
372,185,10
373,116,26
374,171,191
375,295,116
376,286,79
377,257,163
378,164,36
379,107,86
380,249,14
381,296,182
382,288,95
383,251,184
384,383,47
385,290,186
386,382,84
387,295,111
388,258,137
389,347,33
390,279,10
391,147,10
392,344,97
393,351,87
394,159,65
395,335,194
396,106,109
397,217,122
398,195,27
399,357,169
400,130,138
401,196,138
402,292,101
403,200,108
404,188,19
405,101,88
406,255,172
407,108,187
408,168,155
409,253,184
410,359,179
411,195,21
412,210,7
413,393,152
414,354,185
415,257,39
416,360,78
417,188,105
418,263,181
419,245,195
420,351,106
421,235,115
422,397,196
423,341,186
424,149,103
425,261,114
426,190,14
427,313,53
428,268,169
429,318,141
430,236,62
431,392,45
432,353,119
433,292,75
434,250,169
435,189,184
436,178,60
437,240,142
438,387,59
439,235,165
440,380,130
441,145,129
442,150,31
443,304,52
444,349,127
445,281,107
446,284,78
447,165,32
448,146,57
449,290,92
450,213,132
451,148,6
452,261,187
453,258,29
454,215,167
455,212,46
456,280,120
457,314,194
458,117,73
459,237,30
460,168,180
461,182,32
462,120,107
463,389,12
464,231,96
465,383,25
466,300,122
467,350,26
468,113,149
469,339,20
470,304,60
471,346,89
472,310,173
473,284,111
474,153,49
475,294,185
476,326,6
477,213,79
478,215,123
479,326,140
480,251,80
481,314,36
482,155,112
483,364,112
484,238,4
485,348,96
486,149,53
487,313,91
488,225,37
489,263,86
490,384,106
491,281,31
492,278,176
493,365,100
494,328,146
495,102,21
496,350,77
497,249,147
498,303,33
499,229,83
500,355,133
501,245,187
502,268,86
503,283,40
504,110,43
505,214,18
506,296,120
507,173,36
508,149,101
509,155,4
510,137,19
511,396,19
512,278,98
513,198,169
514,226,2
515,254,160
516,177,156
517,261,195
518,248,83
519,150,76
520,353,181
521,182,151
522,291,120
523,275,134
524,242,163
525,303,49
526,313,162
527,253,121
528,164,85
529,178,26
530,289,30
531,209,155
532,183,61
533,262,131
534,309,26
535,269,90
536,209,45
537,143,105
538,156,149
539,258,7
540,194,124
541,341,161
542,176,28
543,196,28
544,234,192
545,133,138
546,324,193
547,100,103
548,122,92
549,338,143
550,126,116
551,200,87
552,138,97
553,165,188
554,190,188
555,166,59
556,209,109
557,341,6
558,177,20
559,237,144
560,284,161
561,311,198
562,167,176
563,331,41
564,145,132
565,106,84
566,305,151
567,336,134
568,197,43
569,395,13
570,275,24
571,199,80
572,158,3
573,238,118
574,294,127
575,244,88
576,282,66
577,155,64
578,179,63
579,236,29
580,205,19
581,321,44
582,317,14
583,232,68
584,102,160
585,314,54
586,114,142
587,154,152
588,389,120
589,293,4
590,394,160
591,365,57
592,398,32
593,338,30
594,198,80
595,125,62
596,309,187
597,197,93
598,146,118
599,208,141
600,280,108
601,359,77
602,175,137
603,366,87
604,268,193
605,382,60
606,385,147
607,397,15
608,259,87
609,216,91
610,313,9
611,181,25
612,174,42
613,348,34
614,136,82
615,161,181
616,263,132
617,211,29
618,126,21
619,383,10
620,168,34
621,245,179
622,307,5
623,316,21
624,111,187
625,121,155
626,168,166
627,216,42
628,139,178
629,139,103
630,303,110
631,102,191
632,169,153
633,161,10
634,394,199
635,354,181
636,347,62
637,377,51
638,124,1
639,248,8
640,326,160
641,288,114
642,188,98
643,147,28
644,189,152
645,346,152
646,303,127
647,247,96
648,351,146
649,283,24
650,389,82
651,349,4
652,133,147
653,291,122
654,320,140
655,123,172
656,269,34
657,163,124
658,283,193
659,273,108
660,212,89
661,333,9
662,208,153
663,184,147
664,263,2
665,291,148
666,378,58
667,242,66
668,161,132
669,147,179
670,319,97
671,140,116
672,199,189
673,220,14
674,191,120
675,210,13
676,343,143
677,391,30
678,334,78
679,210,77
680,181,141
681,247,56
682,145,132
683,373,188
684,264,68
685,313,106
686,173,84
687,267,93
688,277,36
689,252,130
690,122,106
691,143,188
692,178,183
693,289,20
694,245,180
695,156,138
696,280,102
697,303,10
698,198,44
699,172,197
700,193,177
701,357,59
702,334,146
703,193,98
704,371,173
705,158,150
706,110,67
707,230,21
708,378,21
709,335,118
710,137,111
711,370,109
712,393,123
713,105,181
714,197,60
715,125,75
716,237,69
717,246,66
718,119,46
719,352,185
720,160,154
721,372,181
722,109,80
723,173,140
724,295,148
725,305,175
726,263,90
727,124,139
728,296,166
729,367,61
730,350,178
731,183,143
732,275,149
733,145,148
734,330,141
735,399,51
736,281,57
737,128,27
738,297,173
739,296,20
740,328,194
741,287,53
742,177,193
743,327,200
744,399,20
745,110,6
746,213,194
747,175,32
748,136,125
749,318,51
750,260,178
751,295,63
752,189,156
753,303,93
754,284,45
755,321,26
756,369,114
757,316,84
758,136,9
759,362,79
760,253,162
761,134,93
762,366,127
763,112,160
764,192,1
765,321,69
766,153,97
767,122,63
768,196,136
769,393,157
770,108,44
771,230,105
772,316,167
773,113,70
774,100,45
775,330,77
776,104,122
777,139,188
778,294,5
779,194,84
780,138,29
781,257,69
782,354,47
783,391,32
784,280,73
785,161,89
786,304,110
787,254,14
788,318,22
789,338,25
790,102,146
791,217,6
792,232,129
793,276,177
794,235,81
795,257,23
796,374,85
797,319,199
798,153,55
799,106,110
800,214,91
801,388,107
802,351,136
803,254,141
804,261,100
805,398,183
806,320,98
807,129,29
808,374,11
809,374,71
810,142,38
811,378,79
812,185,165
813,199,167
814,131,118
815,279,132
816,189,154
817,383,169
818,343,54
819,229,82
820,373,179
821,191,158
822,203,132
823,133,63
824,134,147
825,269,162
826,323,113
827,359,125
828,243,1
829,373,130
830,245,191
831,207,79
832,122,18
833,279,182
834,247,18
835,315,88
836,162,120
837,271,177
838,372,130
839,318,16
840,179,15
841,365,14
842,211,5
843,131,24
844,163,140
845,217,114
846,217,150
847,285,82
848,388,78
849,379,190
850,363,131
851,168,84
852,378,87
853,179,148
854,345,176
855,387,131
856,225,66
857,106,47
858,340,6
859,131,138
860,161,12
861,290,117
862,104,200
863,390,146
864,168,76
865,106,46
866,298,58
867,129,57
868,124,68
869,231,163
870,268,58
871,224,37
872,245,135
873,379,49
874,147,25
875,249,112
876,138,187
877,357,46
878,383,9
879,204,139
880,285,94
881,303,152
882,234,37
883,168,44
884,370,27
885,326,195
886,307,5
887,189,130
888,339,60
889,365,9
890,177,25
891,208,37
892,318,134
893,258,73
894,108,131
895,161,72
896,397,162
897,159,138
898,238,176
899,332,73
900,368,32
901,258,150
902,284,45
903,258,21
904,362,59
905,284,42
906,312,147
907,240,94
908,112,74
909,193,170
910,289,76
911,169,126
912,372,58
913,270,55
914,394,37
915,250,35
916,387,22
917,241,90
918,337,85
919,344,179
920,255,81
921,284,104
922,193,66
923,222,135
924,353,169
925,142,45
926,240,192
927,306,57
928,195,171
929,371,59
930,366,43
931,100,103
932,382,107
933,312,66
934,232,113
935,186,168
936,161,59
937,128,111
938,349,18
939,136,83
940,188,176
941,340,135
942,251,2
943,366,77
944,126,193
945,211,10
946,282,163
947,189,49
948,290,137
949,222,178
950,131,125
951,181,135
952,221,35
953,113,67
954,334,112
955,361,127
956,150,163
957,108,170
958,373,14
959,200,5
960,260,192
961,203,16
962,310,67
963,225,44
964,155,174
965,365,6
966,272,126
967,212,5
968,258,94
969,147,24
970,186,175
971,222,87
972,186,61
973,174,172
974,277,129
975,268,117
976,225,156
977,113,178
978,226,103
979,188,109
980,140,20
981,195,123
982,202,96
983,123,69
984,353,159
985,162,187
986,339,108
987,373,110
988,357,20
989,257,96
990,145,22
991,399,163
992,258,9
993,161,138
994,306,18
995,207,168
996,158,16
997,281,139
998,372,38
999,114,116
1000,397,20
1001,322,47
1002,323,98
1003,189,1
1004,158,91
1005,283,82
1006,152,17
1007,184,193
1008,331,67
1009,389,94
1010,306,32
1011,393,160
1012,344,174
1013,351,148
1014,340,44
1015,101,30
1016,143,32
1017,226,127
1018,393,182
1019,350,140
1020,198,85
1021,122,95
1022,258,191
1023,351,156
1024,175,54
1025,315,41
1026,186,30
1027,203,194
1028,394,82
1029,116,73
1030,229,86
1031,201,71
1032,323,31
1033,103,97
1034,256,66
1035,280,162
1036,309,184
1037,255,1
1038,186,12
1039,217,87
1040,123,5
1041,108,39
1042,159,31
1043,183,50
1044,154,24
1045,102,38
1046,199,82
1047,165,10
1048,228,164
1049,109,185
1050,246,149
1051,208,136
1052,258,86
1053,166,14
1054,242,26
1055,104,95
1056,106,190
1057,228,68
1058,263,159
1059,351,59
1060,261,132
1061,383,79
1062,361,73
1063,190,172
1064,146,180
1065,352,33
1066,154,40
1067,169,114
1068,341,76
1069,302,160
1070,241,168
1071,274,160
1072,161,115
1073,234,93
1074,271,187
1075,159,2
1076,194,170
1077,348,192
1078,381,41
1079,398,112
