"provider_id","name","location_city","location_country"
"1", "Global Ingredient Suppliers", "London", "United Kingdom"
"2", "Nature's Bounty", "Seattle", "United States"
"3", "Organic Essence", "Berlin", "Germany"
"4", "Culinary Creations Inc.", "Toronto", "Canada"
"5", "Spice Odyssey", "Mumbai", "India"
"6", "Tropical Delights", "Bangkok", "Thailand"
"7", "French Pantry", "Paris", "France"
"8", "Italian Harvest", "Rome", "Italy"
"9", "Eastern Spices", "Hong Kong", "China"
"10", "Brazilian Botanicals", "Rio de Janeiro", "Brazil"
"11", "Australian Outback Provisions", "Sydney", "Australia"
"12", "Latin American Delights", "Mexico City", "Mexico"
"13", "Arabian Nights Imports", "Dubai", "United Arab Emirates"
"14", "Mediterranean Spice Traders", "Athens", "Greece"
"15", "Nordic Ingredients", "Copenhagen", "Denmark"
"16", "Scandinavian Delights", "Stockholm", "Sweden"
"17", "South African Spice Route", "Cape Town", "South Africa"
"18", "Peruvian Botanicals", "Lima", "Peru"
"19", "New Zealand Provisions", "Auckland", "New Zealand"
"20", "Canadian Maple Producers", "Montreal", "Canada"
"21", "American Harvest", "Des Moines", "United States"
"22", "Spanish Paprika Producers", "Madrid", "Spain"
"23", "Dutch Dairy Products", "Amsterdam", "Netherlands"
"24", "Irish Whiskey Distillery", "Dublin", "Ireland"
"25", "Swiss Chocolate Makers", "Zurich", "Switzerland"
"26", "Japanese Tea Gardens", "Kyoto", "Japan"
"27", "Korean Kimchi Producers", "Seoul", "South Korea"
"28", "Vietnamese Pho Specialists", "Hanoi", "Vietnam"
"29", "Filipino Food Imports", "Manila", "Philippines"
"30", "Argentinean Meat Packers", "Buenos Aires", "Argentina"
"31", "Polish Pierogi Makers", "Warsaw", "Poland"
"32", "Czech Beer Brewers", "Prague", "Czech Republic"
"33", "Hungarian Goulash Producers", "Budapest", "Hungary"
"34", "Belgian Chocolate Conciers", "Brussels", "Belgium"
"35", "Finnish Sauna Wood Suppliers", "Helsinki", "Finland"
"36", "Icelandic Seafood Importers", "Reykjavik", "Iceland"
"37", "Norwegian Salmon Farmers", "Bergen", "Norway"
"38", "Bulgarian Rose Oil Distillers", "Sofia", "Bulgaria"
"39", "Romanian Honey Producers", "Bucharest", "Romania"
"40", "Croatian Olive Oil Importers", "Zagreb", "Croatia"
"41", "Slovakian Winemakers", "Bratislava", "Slovakia"
"42", "Turkish Delight Manufacturers", "Istanbul", "Turkey"
"43", "Egyptian Cotton Growers", "Cairo", "Egypt"
"44", "Moroccan Spice Merchants", "Marrakech", "Morocco"
"45", "Ethiopian Coffee Roasters", "Addis Ababa", "Ethiopia"
"46", "Kenyan Tea Planters", "Nairobi", "Kenya"
"47", "Tanzanian Vanilla Growers", "Dodoma", "Tanzania"
"48", "Malawian Tobacco Farmers", "Lilongwe", "Malawi"
"49", "Ugandan Cocoa Bean Producers", "Kampala", "Uganda"
"50", "South Sudanese Gum Arabic Harvesters", "Juba", "South Sudan"
"51", "Nigerian Palm Oil Processors", "Abuja", "Nigeria"
"52", "Ghanaian Cocoa Bean Farmers", "Accra", "Ghana"
"53", "Guinean Cashew Nut Producers", "Conakry", "Guinea"
"54", "Ivory Coast Coffee Growers", "Yamoussoukro", "Côte d'Ivoire"
"55", "Burkina Faso Shea Butter Harvesters", "Ouagadougou", "Burkina Faso"
"56", "Senegal Peanut Suppliers", "Dakar", "Senegal"
"57", "Mali Cotton Producers", "Bamako", "Mali"
"58", "Niger Salt Miners", "Niamey", "Niger"
"59", "Cameroon Pepper Producers", "Yaoundé", "Cameroon"
"60", "Central African Republic Coffee Importers", "Bangui", "Central African Republic"
"61", "Dominican Republic Cacao Bean Growers", "Santo Domingo", "Dominican Republic"
