"recipe_id","flavour_id","ingredient_id","quantity_grams","heat_process"
52,21,194,780090,""
2,176,169,473312,""
80,260,214,660599,"50°C for 10 min"
85,460,167,903427,""
1,111,59,629639,"70°C for 10 min"
97,25,286,89905,"Steaming"
30,370,156,459915,""
73,193,117,343651,"70°C for 10 min"
20,195,90,510880,"Freezing for 20 min"
66,160,124,343048,""
82,76,107,256699,""
98,344,26,628605,"70°C for 10 min"
52,2,182,833801,""
5,319,69,515068,""
25,231,62,12661,""
21,233,96,165535,"50°C for 10 min"
29,423,59,590271,""
90,36,259,638458,""
78,490,97,128433,""
66,222,203,804474,""
61,164,100,614479,"Freezing for 20 min"
86,481,9,608245,""
22,1,174,425964,"Freezing for 20 min"
6,52,118,257904,""
62,138,186,952194,""
56,489,272,385498,""
76,103,281,382172,""
1,15,246,286835,""
22,69,52,816334,""
9,5,57,294380,"Freezing for 20 min"
28,230,230,854,"Steaming"
8,172,33,281124,""
51,293,80,543098,""
17,304,20,246391,"70°C for 10 min"
33,427,245,7645,"Steaming"
47,274,177,623611,"Freezing for 20 min"
68,432,132,22339,""
18,334,71,457108,"20°C for 60 min"
74,464,261,876038,""
49,162,116,129005,""
23,91,15,620710,""
17,6,187,25299,""
31,241,5,762231,"70°C for 10 min"
53,14,161,655533,""
45,145,297,381348,"Steaming"
100,109,134,696198,"50°C for 10 min"
92,149,171,881805,""
56,345,299,383148,""
47,213,276,821503,"20°C for 60 min"
72,280,29,981792,"Steaming"
89,286,172,311752,""
67,399,46,1694,"70°C for 10 min"
45,497,103,115250,""
66,65,3,909639,""
76,146,205,346039,"Freezing for 20 min"
28,27,28,247322,""
22,323,144,722641,"20°C for 60 min"
2,74,9,796051,"70°C for 10 min"
83,163,172,250778,""
54,89,282,588531,""
10,422,82,834015,"Steaming"
9,281,149,146423,"50°C for 10 min"
79,12,61,421371,""
64,291,31,195297,""
90,76,144,86166,""
24,184,286,568542,"20°C for 60 min"
88,54,173,186478,""
65,359,46,956280,""
85,466,79,582291,""
30,69,233,530914,""
81,69,257,320526,""
16,470,197,994644,""
44,86,55,218266,""
7,366,111,229652,""
15,117,146,205551,""
60,214,141,925598,"70°C for 10 min"
36,473,205,71259,""
1,492,74,412941,"20°C for 60 min"
20,185,259,106140,""
46,252,226,847427,""
67,380,231,43350,""
1,364,146,493301,""
74,122,95,182343,""
99,355,104,551720,"50°C for 10 min"
68,141,238,906799,""
35,55,269,696442,""
64,484,229,340393,"Steaming"
99,218,202,192795,""
23,139,293,282990,"70°C for 10 min"
76,72,199,392609,"20°C for 60 min"
83,209,160,34531,"50°C for 10 min"
59,82,63,85125,"20°C for 60 min"
29,146,51,251545,"Steaming"
36,341,88,751419,""
28,422,69,360565,""
19,252,20,612148,"50°C for 10 min"
6,334,292,840576,""
29,92,178,264618,""
92,272,17,964542,""
48,461,215,865402,""
