"transaction_id","customer_id","flavour_id","quantity_liters","transaction_date","country","town","postal_code","amount_dollar"
25243,65,374,31000,"2023-06-14","ISRAEL","Beer Sheva'","6UMD9G",928000
25244,5,110,47000,"2024-05-31","ISRAEL","Haifa","IJVLA5",132000
25245,4,183,99000,"2023-03-02","BRAZIL","Porto Alegre","KT18L5",999000
25246,18,27,43000,"2023-04-05","CHINA","Chengdu","J86GN8",1224000
25247,40,337,9000,"2023-12-28","FRANCE","Paris","KESKAC",1875000
25248,52,15,15000,"2023-07-15","GERMANY","Munich","PJ8Y3E",1045000
25249,45,350,30000,"2023-08-09","JAPAN","Kyoto","A9M9XN",1551000
25250,7,460,30000,"2024-03-04","FRANCE","Lyon","91DEO1",417000
25251,44,97,83000,"2023-09-20","ISRAEL","Ramat Gan","PHLBJP",1435000
25252,58,25,78000,"2023-09-08","FRANCE","Nice","D3P5DY",386000
25253,52,89,15000,"2024-08-02","SPAIN","Valencia","1S4O3L",360000
25254,37,175,13000,"2023-06-04","GERMANY","Hamburg","GQEIYD",29000
25255,75,429,35000,"2023-02-23","FRANCE","Marseille","0GFA7Y",792000
25256,49,250,13000,"2023-03-19","JAPAN","Sapporo","D9P39R",258000
25257,6,53,40000,"2024-12-05","BRAZIL","Belém","4626PT",1980000
25258,55,16,88000,"2024-08-24","GERMANY","Munich","R2K10N",1131000
25259,4,328,20000,"2023-10-09","INDIA","Mumbai","C7IPNR",850000
25260,14,121,13000,"2023-08-20","SPAIN","Granada","PRYNS9",1352000
25261,17,184,73000,"2023-07-03","CANADA","Toronto","FNPJB8",1378000
25262,45,370,86000,"2024-01-17","GERMANY","Frankfurt","6TPZKC",688000
25263,31,5,16000,"2023-09-10","JAPAN","Tokyo","45KJYF",1581000
25264,12,117,75000,"2024-09-09","SPAIN","Seville","S9TU3F",1661000
25265,38,452,82000,"2024-02-16","FRANCE","Marseille","PG2RXN",282000
25266,30,218,56000,"2024-06-23","CHINA","Beijing","UM3N4X",988000
25267,32,90,77000,"2023-10-20","BRAZIL","Brasília","RK71O4",518000
25268,68,355,12000,"2023-12-25","JAPAN","Kyoto","93X58Z",1737000
25269,13,107,46000,"2024-08-22","BRAZIL","Fortaleza","GXFDJX",1886000
25270,12,274,10000,"2023-04-07","ISRAEL","Haifa","R42SNZ",1771000
25271,64,216,70000,"2024-10-26","BRAZIL","Rio de Janeiro","BIA3RS",1698000
25272,40,440,45000,"2023-09-05","GERMANY","Berlin","O4U0X9",1145000
25273,62,198,20000,"2023-04-05","CHINA","Shanghai","CYQ89U",1585000
25274,55,244,51000,"2023-03-19","CANADA","Ottawa","8HBV2N",801000
25275,2,115,38000,"2023-08-30","SPAIN","Madrid","201UNG",1525000
25276,49,106,78000,"2024-11-25","ISRAEL","Jerusalem","X3BCKD",1273000
25277,15,239,0,"2023-11-09","INDIA","Kolkata","94DAI1",1650000
25278,67,465,88000,"2023-10-06","ISRAEL","Ramat Gan","QFPG3V",1212000
25279,36,308,66000,"2023-12-02","INDIA","Bangalore","UF1UQ1",1815000
25280,61,347,49000,"2023-09-14","FRANCE","Bordeaux","748OIG",762000
25281,33,74,29000,"2023-09-02","SPAIN","Madrid","BOJ90P",1448000
25282,22,422,48000,"2024-10-19","CHINA","Guangzhou","CK7JFR",1220000
25283,71,97,14000,"2024-07-29","GERMANY","Cologne","IJFY1R",815000
25284,5,369,39000,"2024-11-23","FRANCE","Nice","VI2HA6",1275000
25285,26,194,54000,"2024-08-21","SPAIN","Seville","1RNR6K",1894000
25286,46,219,75000,"2023-07-06","ISRAEL","Tel Aviv","OYX44V",364000
25287,64,361,27000,"2023-02-22","FRANCE","Paris","9UOUN4",1258000
25288,73,165,12000,"2023-04-10","SPAIN","Málaga","A3RCTV",1330000
25289,31,105,60000,"2023-04-27","ISRAEL","Petah Tikva","YZZ6QX",1655000
25290,64,251,42000,"2024-07-28","FRANCE","Marseille","7PKQP3",1665000
25291,19,142,56000,"2024-01-12","JAPAN","Kyoto","UJKPSZ",3000
25292,59,52,2000,"2024-03-16","FRANCE","Lyon","R3Y89K",915000
25293,50,84,38000,"2024-12-08","FRANCE","Bordeaux","GEMLAH",1666000
25294,19,22,72000,"2024-08-29","SPAIN","Valencia","H4OMGK",168000
25295,37,237,75000,"2023-07-02","BRAZIL","Brasília","633ROB",1260000
25296,67,165,53000,"2023-05-08","SPAIN","Valencia","LVJTU6",1879000
25297,55,344,66000,"2023-10-04","ISRAEL","Jerusalem","QXDOE4",661000
25298,57,368,25000,"2023-12-13","CHINA","Chengdu","KQQGO0",1443000
25299,70,114,76000,"2023-04-22","CHINA","Guangzhou","UEGIMY",322000
25300,69,395,91000,"2024-11-10","CHINA","Shanghai","UKGJ69",1684000
25301,2,347,5000,"2023-10-21","BRAZIL","Porto Alegre","LR44O3",1180000
25302,15,4,53000,"2023-11-08","ISRAEL","Beer Sheva'","ZVNP3F",60000
25303,48,78,76000,"2024-05-10","ISRAEL","Tel Aviv","JJQ3BB",1068000
25304,1,200,64000,"2024-02-27","BRAZIL","Rio de Janeiro","D1AHX4",1322000
25305,27,2,81000,"2024-06-27","JAPAN","Fukuoka","B5553K",922000
25306,67,291,28000,"2024-05-30","BRAZIL","Fortaleza","N566A4",262000
25307,68,172,86000,"2024-04-07","CANADA","Edmonton","YA0CHY",1563000
25308,1,120,77000,"2023-08-30","CANADA","Ottawa","71YMMU",834000
25309,36,25,71000,"2023-08-12","CHINA","Chengdu","QI14SE",1069000
25310,28,71,18000,"2024-11-21","INDIA","Kolkata","KKS0AR",450000
